"Geno","Location","TRS_kg_per_Mg","CYMg_per_ha","Population","Dia","Brix","Fiber","SW_kg","Sucrose..","Moisture","Pol..Reading","Purity"
"FIJI1","Light",110.821444494933,57.8518596276176,57445.9216125852,24.8924475758114,18.907450502782,14.3837557874031,0.977581776392615,15.7029718112209,69.6770653504642,67.4130463353107,82.0271889790128
"FIJI47","Light",74.0204948961241,17.4869019207122,42584.3853398855,24.9208830588713,15.5803051757884,8.84784361298767,0.896056481890203,11.3075043579193,76.8122747729638,47.7889308087954,71.5386033994347
"G17","Light",0,33.090979774533,100845.082301913,0,0,0,0.27232110867808,0,0,0,0
"GANAPATHY","Heavy",72.3795532304613,44.9054235830346,126758.683322872,17.2627417129462,15.4789952264174,23.7144623865047,0.364537736339248,11.4412382100209,65.363367598419,47.3160924169583,71.1733815257829
"GANAPATHY","Light",78.2750365082218,74.606299511621,174510.499462201,17.5126758712122,15.6233609878325,23.562238560775,0.441738463876225,11.7200062246295,65.5471190633037,49.5759608190318,73.8352454057749
"GI 1","Light",64.367957172044,15.8763950261635,60321.4755927462,12.2823302523992,14.6506511180202,17.6419720763903,0.23963275114044,10.1414411149182,71.5454448693001,42.8247177015856,66.2366513333129
"GI 3","Light",84.9197946600726,11.5103386644223,87288.6966356111,21.7189447256711,16.9019362502462,13.8000972969032,0.544679462815262,12.7276926263444,71.8614611268344,54.1991854996088,73.9160897910471
"GI 4","Light",57.854634500606,20.7784473346315,111156.817943865,12.4303844898326,14.3840498297341,17.6920446785201,0.17585496470267,9.46410209216417,71.4532903164249,40.1729476404396,59.4135348785328
"GI 7","Light",0,22.6931494250007,138588.007668017,11.0553314058731,0,0,0.210232444245804,0,0,0,0
"GREENGERMAN","Heavy",122.306852812204,57.4807432678895,70111.2631263557,23.7450262763455,20.1052102496799,13.2486597997985,0.830471549550674,17.3883446078281,68.9666644810852,74.9859711524154,84.5727463036556
"GREENGERMAN","Light",126.751220768526,60.1621196483291,69730.2268903979,23.5777818488509,20.086443558015,13.415549836848,0.920797811358753,17.5311158233711,69.1642867399973,75.7008909074687,86.1468516767465
"HB07-3022-1","Heavy",85.5192987010273,44.8730922900425,232589.162570221,14.1045257113559,16.6757962531986,20.5369913293419,0.183608942164802,13.0073747171112,66.3965735736877,54.222733367274,75.1389319569475
"HB07-3022-1","Light",82.5453722713382,34.0762373480174,150103.998555258,13.3139181468992,16.2091706019377,21.1008364185337,0.274310584433442,12.2877319044229,66.3581163265512,52.0958407111149,74.8619250816977
"HB07-3022-2","Heavy",81.159169179534,111.405979315663,299964.64361869,14.7309810139743,15.615387025801,21.4962491202093,0.399073229177857,12.2717747900555,66.4699871195874,51.602141678933,75.8170918188547
"HB07-3022-2","Light",79.771314881923,70.0155222757415,216957.925407978,14.094238958939,15.3507499618623,19.8806346894763,0.321619104663062,11.7818352338887,68.24933367805,49.7503859896394,75.4390022463341
"HB07-3023-1","Light",47.9960231775173,76.3691081705149,148797.992452749,18.6338932076115,12.0138949647516,23.6957473121256,0.533725357562937,7.85482654906281,68.0029605278659,32.7721370373377,62.6288659075947
"HB07-3023-2","Heavy",0,0,46953.471179513,0,0,0,0,0,0,0,0
"HB07-3023-2","Light",40.8395060067552,46.9294119592771,114054.137777603,17.9955783119971,11.1848789426909,20.4899409588444,0.427172884093633,6.94641116030844,71.4650962545514,28.8542513431737,60.1744980819351
"HB07-3023-5","Heavy",68.2838985486194,33.4142643530679,100373.442216543,14.9188105675792,15.9871418746845,19.5544149265644,0.305749800787735,11.1817585705031,68.1910443234537,47.2563505487931,68.5249297850193
"HB07-3023-5","Light",90.0676679693364,38.5688905681053,137289.077203493,14.4026221806372,17.0813663502152,20.4200327117041,0.303246302023318,13.2402400735413,66.309657207808,56.3362452062321,76.5018336506767
"HB07-3029-1","Heavy",85.4738712240556,54.5578620148935,163857.393441547,13.124067462368,16.2494454065665,17.6665436606456,0.293702344164728,12.8272529748149,69.2558462571008,54.6106264022629,77.0773002305657
"HB07-3029-1","Light",86.2975939639263,27.5223904504361,98030.0884729464,12.8890413547854,16.0654549774743,16.9237839351203,0.292764849347476,12.5999342244646,70.4953607903446,53.4266318368287,76.8563788003172
"HB07-3045-11","Heavy",87.911622748058,57.7082675109995,148207.98238215,15.6055814674987,16.7102235745927,21.1998883663577,0.372531023468785,13.2152740542023,65.6704370041912,55.7938539333607,76.9669963160986
"HB07-3045-11","Light",83.6930764412115,56.6291041461763,136787.067194386,15.6218991469813,15.9847170888285,22.2383835578012,0.426305643837824,12.333374175883,65.8121003071062,52.2229431689137,76.0521103611501
"HB07-3045-12","Heavy",81.6707943951951,86.2368908884958,205469.199105363,15.0600135891517,16.5735653579361,21.186065909665,0.417706850795438,12.6037349082503,66.0556697744102,52.8146851033853,73.6236131242208
"HB07-3045-12","Light",85.5964656336855,76.9010605846882,181201.408972253,14.1904639291789,16.3206232725944,22.7668970752238,0.439230715861289,12.6073325852411,65.2986191419664,53.4642679797085,76.2119118262685
"HB07-3045-2","Heavy",85.2219368638304,67.8120556290924,244654.646519965,13.9603601972903,16.2696881658948,19.1770569590749,0.285939660746274,12.8397918018544,67.6578855893423,54.057490388579,76.6564831207713
"HB07-3045-2","Light",87.0600791370868,85.2475102902728,241994.455172242,14.6372451384149,15.877599988923,21.2875445784824,0.352168920030523,12.6192038644514,66.4293146652714,53.4301025734799,78.2283632534098
"HB07-3073-2","Heavy",94.1942092079847,56.4348723760376,222504.573170601,12.809871367119,17.3408266244234,19.1532633857643,0.247536054773995,14.0054446668063,66.7745588797167,59.2770195977296,78.4553038873721
"HB07-3073-2","Light",97.0141883070339,61.582075686288,254051.343444711,11.968447565359,16.8518027711692,20.3681717450139,0.240817112298794,13.8210714438857,66.4227492826543,58.7368704938544,81.0231266202968
"HB07-3073-3","Heavy",94.2723690886581,57.349425808791,224299.055634538,12.5858536996305,17.4408926356486,20.2157211262004,0.260621565783087,14.0085747667672,65.3998621588711,60.2032243182331,78.8874227849836
"HB07-3073-3","Light",88.2044102995024,51.8112393930935,208506.571526131,11.5523456198156,16.161913961158,19.3683514265418,0.255469394045728,12.8050728555251,67.5884775057218,54.2988130891971,77.7954328592878
"HB07-3073-6","Heavy",79.3394042064527,84.7440020618115,234396.965019756,14.4808022241431,15.1254177541104,19.1582438631655,0.337666597632032,11.975602148842,68.8560626095246,49.6289278326818,75.9942609327899
"HB07-3073-6","Light",79.6837692691158,58.3210262581684,199360.839772391,14.2922167326595,15.3262539248486,20.3331005130788,0.301514663996822,11.7681239960381,67.8206163921371,49.7097254332012,75.5782444109635
"HB07-3073-8","Heavy",85.3105142016702,42.6436301630428,170265.204138314,14.1254518449519,16.8251647747932,21.796926629601,0.229493231969197,12.9926199308927,64.8502790369505,55.7513751280657,75.7981071367865
"HB07-3073-8","Light",89.8673246194572,64.3606848509772,241218.264472903,13.0891108208613,16.5011227183587,20.8142431170538,0.272371917640256,13.0567222084884,66.3116679069572,55.4645249886805,77.5619437250732
"HB07-3101-2","Light",76.5729849442868,29.0555304232801,144312.99245275,12.5148947926575,15.4017534718626,20.3253790746927,0.183093592908303,11.4964830012105,67.5957387424767,48.5588024668836,73.3879011975794
"HB07-3114-3","Heavy",47.2286354501322,57.4093450839603,150778.496299037,14.7316136343501,12.0512181014502,23.6763728845722,0.34353790891743,8.08111476571277,68.0250212263788,32.9757395981216,64.4698623478958
"HB07-3114-3","Light",52.47203422144,43.9708310976172,124316.976270259,15.2271949435778,11.865793478047,21.917164620365,0.370490930362761,8.22681963320616,69.689987377354,34.1752810142931,67.7126479807284
"HB07-3114-5","Heavy",80.0154108152305,76.7006878685797,242097.092872065,13.73415687776,14.228330647949,30.3368814184274,0.332809058000728,11.7868443146362,60.6308334786956,48.5519481028653,79.2977542700071
