"Genotype","TRS_kg_per_Mg_BLUP","CYMg_per_ha_BLUP","Population_BLUP","Dia_BLUP","Brix_BLUP","Fiber_BLUP","SW_kg_BLUP","Sucrose.._BLUP","Moisture_BLUP","Pol..Reading_BLUP","Purity_BLUP"
"CP72-370",125.251475134705,64.7306664302613,86130.9282426096,23.3846336518136,20.4423421770875,12.6843007440031,0.811697229742951,17.4914811845961,69.3241924872276,75.7088524849114,84.4354212261082
"HOCP92-624",119.077721251831,53.113305344134,63759.2618731742,23.7043280379123,19.8950367013905,13.1987005355806,0.879013191403088,16.7617890995129,69.4328552431107,72.3497832714329,83.0717106317143
"HO95-988",126.737439545156,69.6469744914929,91414.4509795829,24.0892425276765,20.1867055414058,12.2059288080011,0.870690671661793,17.5572865916003,69.738136832528,75.8878263578839,85.7766564818847
"HOCP92-648",119.888465909247,67.1775857841668,85714.2696147437,24.5402641554692,19.8784994533874,12.0682226080125,0.847954913929481,16.8323658359135,70.3523262248767,72.6436340393316,83.5381902476076
"HOCP09-814",126.881132693009,71.0737374348164,75513.9089152553,23.5174393762456,20.0690106937428,11.5359608326811,1.04506024631665,17.5371804538202,70.3125660976276,75.750223312687,86.1800243477551
"HOCP04-852",102.484293246965,59.6747984439776,64681.0908798953,24.925139923376,17.9909118101478,11.7527094474017,1.02836815897591,14.662592290088,72.3175585736797,62.7080978483118,80.4067306244172
"L08-726",131.689058647893,59.1367067347589,76403.9560854898,22.5177281987536,20.6090654593697,11.8791535963323,0.78230882039249,18.1413948977936,69.8434464029148,78.5782012935301,86.7672121404336
"HOCP85-845",116.362911533111,65.0918468310252,77926.034387769,23.1095455802756,19.5470775121593,13.8863680885732,0.896253322794236,16.4027668555774,69.3899093106085,70.6861380869921,82.8301596500315
"N27",96.3203669077298,58.1446414157139,73710.3662793602,22.927227064559,17.6357466767242,13.0344196880921,0.872217708149031,13.988236328306,71.6548997906591,59.720944305007,78.2649917636849
"DIDENG",99.1359488736711,65.1123798200786,72239.9524156902,24.3410789393976,17.6196612145771,11.8625218762282,1.01245287280164,14.2402932761765,72.4509566365965,60.8044026832561,79.7657064106004
"Tuccp77-042",112.575305740095,65.623222395658,88610.2072070284,25.0960100144011,19.3505680613992,13.9986059715287,0.92387622077065,15.9969348614359,69.5455034264232,68.8586786139023,81.6278127863462
"L12-201",130.822739713854,64.0195030335344,76710.8514612345,24.0028678928601,20.3507831589116,11.6195565598863,0.899208731744767,17.9848602255166,70.126233830522,77.7979775322416,87.113671173914
"LCP81-010",120.935349324451,79.7758121554786,85976.3261295769,24.1993703076666,19.9549148720005,13.4349596295794,1.04442414720227,16.9487566485062,69.4204418205479,73.1731087160348,83.8339672935265
"L98-209",121.061903006183,67.1462620141344,96477.0193385994,21.731367906423,19.8604837940441,12.7203897498764,0.779989240474389,16.931541128234,69.8440782521979,73.0952823653166,84.0980270257608
"HO12-629",119.558874243499,64.1626396645702,91302.2047534465,23.2171450286179,19.6630084790477,12.9638580349445,0.781117785704802,16.7345423904497,69.8019387861034,72.1732473412602,83.874441992499
"L09-112",124.734058241916,78.2459171475698,90217.314714157,23.5635727547285,20.1902852911371,13.993895613823,0.999796050311719,17.371722299169,68.601698066579,75.0896483077627,84.8583550951103
"L94-428",125.960720120817,61.8933258231481,81236.3281278448,22.3701679072572,19.9932063262448,12.4005511188474,0.788896768853185,17.432406453026,69.688903834993,75.3171425654955,85.8229970505404
"LCP86-454",114.373227034127,69.818142658044,93801.1357402265,23.2755827369478,18.9453121658364,13.5785967684727,0.842762903765288,16.0463744072343,70.1039389999693,68.9354250796035,83.5566209816951
"HOCP12-640",124.022957130467,61.9871170161569,87884.486463402,22.7921874664043,20.2914071282087,12.3509167588821,0.747730531031519,17.333225733568,69.6129099147979,74.9544416484959,84.3038037915947
"L09-123",121.626077337507,64.4973278157536,86456.007108779,21.6598974271882,19.9620931981058,13.6221160674187,0.787347851656254,17.0159669879109,69.1606508507225,73.4663566753936,84.078598205543
"HO07-613",123.213277278886,65.8686721403575,85135.3723757758,22.9531301624773,19.7120883747888,12.3040273191919,0.840880015198852,17.0886133748331,70.0985531670453,73.7104967492658,85.4145356339139
"LCP81-030",126.751577940132,75.3039741874191,93025.9732847131,24.2057269001211,20.4775700001528,12.6952860656883,0.871138691329174,17.64233521269,69.1971727301847,76.3689683595152,84.9814474849326
"CP83-644",123.43958541965,63.047095108448,68026.6305895881,25.1560498172676,19.9695037719763,10.6293228841549,0.967872388877384,17.1895011882206,71.2299731212778,74.2233859339452,84.8621343899284
"HOCP00-950",131.146152755848,60.2955216495702,81517.9230172462,22.6130083060333,21.2028217828811,12.1434355508838,0.746696414599517,18.2632399665811,69.1424621180032,79.3323905406922,84.9882663461463
"L99-226",127.416619342864,80.5150934632477,82128.3624016608,23.4498290691231,20.5049622733205,13.0152363540028,1.12589507097733,17.7133003983548,69.0201836997048,76.6859343621249,85.2079884080721
"CP52-068",116.852011605419,41.6640553756014,53312.5981326017,22.6418991129739,19.1575835359829,12.129644528593,0.778069879499373,16.3348517853051,70.686509337229,70.3181038418157,83.8935565443965
"CP79-348",119.960665985439,58.8077384360307,71472.4020933487,23.8897842736122,19.5869951662315,12.5685352652341,0.917000283467122,16.7535046749097,70.2627607652981,72.1961265649709,84.3480871360341
"L12-202",128.137334300856,72.2944500866695,87236.9488550087,23.7816982581651,20.7675047598359,13.1744850072462,0.949851887530193,17.8552838704642,68.6082859902799,77.4074951380904,84.7961611557085
"L06-040",123.638403121137,76.2219695599598,103461.826439564,23.679723128326,20.0681562164395,14.4509039144657,0.817231996074433,17.2320418248987,68.4715364465759,74.4417573890637,84.7238885277987
"HOCP96-540",126.734216182148,71.4817472671284,90693.7205285189,22.3207524763256,20.1305926751711,12.5059066698483,0.866993197238696,17.5421158355076,69.7153241726785,75.7991351626381,85.9333747717018
"CP85-830",101.574122705637,62.6889828123456,79979.2258009636,23.2541336015896,18.0752594276135,13.7299124519811,0.874580538150239,14.6015075817093,70.8664348743269,62.47091425625,79.7557482125946
"GREENGERMAN",125.331115748552,58.1500909895182,73159.1553403888,23.3604321680973,20.0573076307229,13.4195336461876,0.876704890064004,17.3867681959197,69.1538759500577,75.1139797039625,85.4679298972994
"HOCP12-667",130.868949116823,60.4429642341385,81345.5013398141,22.6740610933342,20.536347615268,13.2004078646366,0.809156350216397,18.04431651357,68.7861922760084,78.128807730106,86.6362350920247
"L12-227",121.693259838406,80.1934425251412,92950.0378543756,22.658936713211,20.3933339298019,14.2664689600792,1.01836423666529,17.1463282833181,68.5346918972516,74.1909028829691,83.002631345834
"HO12-630",119.779070307557,65.5917928511054,77510.004917286,22.7261395658659,19.8028754849478,13.4400448207495,0.911132095059358,16.7941492429307,69.3258269989263,72.5626302037233,83.1819217884643
"HOCP13-723",130.952647118879,53.18694109315,83295.1534155993,23.9533679259667,20.5428636034866,11.2052283755913,0.662478064903641,18.0515629825179,70.2446818527802,78.165287365801,86.6538540777203
"CP77-407",121.112508830355,42.2543417430354,57046.345506917,22.4249171863548,20.0730007287824,11.802756328721,0.692843074648791,17.002521917454,70.3176605975437,73.4508559308323,83.5362929935987
"HO11-528",120.315520485045,46.8274814498876,61902.1090301542,23.5485308711479,19.820494819058,12.6907234947239,0.741101596825061,16.8538203558052,69.9364044303991,72.7210917616099,83.8605747755614
"LCP85-376",119.961636657925,59.6801396045941,81597.4489019545,20.9050113690265,19.7875966852568,13.5242048908376,0.763347995191553,16.8083076897955,69.2249659586945,72.5545479365207,83.765679324261
"HOCP05-918",126.292676062076,63.1798001980631,91182.1243725762,23.3556051310607,20.238232675024,12.3021562203499,0.741082178550222,17.5309356854358,69.8896706564907,75.7988559372046,85.3727397768543
"L10-147",121.042820685485,77.1085076390158,98832.9370305263,22.749704323026,19.6718471470491,12.1094808555241,0.859510335437876,16.8790155927928,70.416555152659,72.7645229662029,84.5851391911082
"HO04-547",122.202990947377,66.7785943486716,92563.2385640764,23.4284977402263,20.0819217619747,12.3576564052672,0.916619101101517,17.1052061521544,70.0913143596181,73.9060679663393,83.9832134964845
"L06-001",132.904988984146,65.5638093831274,85348.1734494783,23.0961221103222,21.0611584753937,11.747062884518,0.879982256205783,18.3842004465037,69.3334730612593,79.807810819406,86.1098279424236
"HO08-711",112.934789386751,48.5259109001737,75372.3872283004,22.0736289502899,18.8256061265354,11.0755592092262,0.640467766022673,15.876411940293,72.0134031528402,68.1959053028392,83.0106428826859
"HO89-889",124.919696873274,64.7017717797563,91173.6422222392,20.8366930389675,20.4914696027315,13.4496038058743,0.804322226039948,17.4737365335222,68.8667963415398,75.6557344773039,84.0718973516552
"HO04-847",120.213809647718,67.9902214703041,86305.2525387283,23.50630698949,20.084103823646,11.9369229970627,0.863350165079037,16.9213007161956,70.4159627678341,73.1123669661865,83.0827645440073
"HOCP01-517",127.67840126143,65.3142977628826,77268.564968467,23.1868636770763,20.3749157275862,11.5642261669571,0.972098122700807,17.7004360761789,70.2196131714478,76.5819018005819,85.5899840770361
"LA PURPLE",114.764649765183,43.1113819717136,63101.6382314027,22.3860300414899,19.5351207691358,13.674086074715,0.66450787278955,16.2502958062788,69.5228593381845,70.0464336836921,81.9840842447901
"HO08-709",119.020536494412,59.1877497803618,87821.1893479476,20.2508835684639,19.7179327151386,13.7179180560711,0.722507385719334,16.7051640746524,69.3744942378496,72.0379227171651,83.5862516080171
"HO10-919",121.66334644016,57.9341715595732,78727.8124371953,23.0831620093743,19.9495827685508,13.6712338168016,0.878617889463647,17.0224652928018,69.0476615583476,73.4807491836978,84.1019256772357
"L06-038",121.237644451912,61.3648352830955,75581.4164639582,21.2633901376598,19.8184748676959,12.3340023307863,0.856000839779731,16.9376125659888,70.1181308318951,73.0916408795031,84.2383125118552
"HO09-831",124.87500959013,57.4253018065549,68584.2786900226,23.4375649562937,20.2246868792284,12.7626108406637,0.898087229089148,17.3944070821577,69.6799479989508,75.2049241264762,84.8105472365107
"HO07-617",122.548541420689,63.2548606306782,93635.4303542778,21.2049126913003,20.075351716461,12.2863280599719,0.718169686241668,17.1345518253512,69.9340963633898,74.0245577961176,84.2291256656904
"HO06-563",125.630883947603,76.4838916873048,92580.4871241714,22.6739724006784,20.1608947542815,14.0971454105231,0.903439946482196,17.4458765022398,68.5215040904208,75.4106349895561,85.3041454358304
"HoCP01-517",130.178237881835,62.4696036968076,79387.0182422772,22.65563751638,20.6977935536071,12.1194297374971,0.94257200403634,18.0287720670487,69.5768071597864,78.0994364067733,85.913065790725
"L09-105",114.57426238886,69.0744625349012,103085.497477425,20.4060782823811,19.1853694390626,13.6441935036836,0.719966327277944,16.1323831728298,69.7428952014277,69.4018816552976,82.9092313392294
